Genus.Species,Caste,Image CASENT,Weber's length_1,Weber's length_2,Weber's length_error_rate,Head width_1,Head width_2,Head_width_error_rate,Scape length,Mandible length_1,Mandible length_2,Mandible length_error_rate,Eye length_1,Eye length_2,Eye length_error_rate
Odontomachus.ruginodis,worker,casent0104183,2.755,2.790,-0.013,1.531,1.540,-0.006,,0.869,0.871,-0.002,0.333,0.330,0.009
Paratrechina.longicornis,worker,casent0171035,1.017,1.016,0.001,0.463,0.463,0.000,,0.095,0.093,0.021,0.194,0.195,-0.005
Pheidole.adrianoi (minor),minor,casent0104274,0.507,0.506,0.002,0.394,0.395,-0.003,,0.101,0.100,0.010,0.099,0.101,-0.020
Pheidole.adrianoi (major),major,casent0104273,0.697,0.695,0.003,0.895,0.894,0.001,,0.201,0.202,-0.005,0.109,0.113,-0.037
Pheidole.bicarinata (minor),minor,casent0005750,0.595,0.594,0.002,0.512,0.512,0.000,,0.123,0.120,0.024,0.114,0.114,0.000
Pheidole.bicarinata (major),major,casent0102868,0.899,0.897,0.002,1.024,1.027,-0.003,,0.177,0.179,-0.011,0.123,0.122,0.008
Pheidole.floridana,minor,fmnhins0000078504,0.534,0.537,-0.006,0.432,0.429,0.007,,0.096,0.094,0.021,0.086,0.086,0.000
Pheidole.floridana,major,casent0104401,0.826,0.822,0.005,0.854,0.851,0.004,,0.192,0.187,0.026,0.106,0.106,0.000
Pheidole.carrolli (Minor),minor,casent0104287,0.792,0.802,-0.013,0.522,0.522,0.000,,0.116,0.114,0.017,0.138,0.139,-0.007
Pheidole.carrolli (Major),major,casent0104286,1.301,1.302,-0.001,1.432,1.429,0.002,,0.331,0.331,0.000,0.190,0.189,0.005
Pheidole.crassicornis (Minor),minor,casent0904433,1.012,1.001,0.011,0.578,0.581,-0.005,,0.182,0.183,-0.005,0.128,0.131,-0.023
Pheidole.crassicornis (Major),major,casent0104291,1.237,1.247,-0.008,1.142,1.149,-0.006,,0.234,0.237,-0.013,0.189,0.181,0.042
Pheidole.crassicornis_nr,worker,,,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!
Pheidole.dentata (Minor),minor,casent0104240,0.940,0.948,-0.009,0.619,0.615,0.006,,0.133,0.131,0.015,0.154,0.154,0.000
Pheidole.dentata (Major),major,casent0901550,1.103,1.103,0.000,1.128,1.140,-0.011,,0.327,0.327,0.000,0.189,0.193,-0.021
Pheidole.dentigula (Minor),minor,casent0104394,0.514,0.510,0.008,0.450,0.450,0.000,,0.125,0.124,0.008,0.065,0.063,0.031
Pheidole.dentigula (Major),major,casent0104393,0.709,0.704,0.007,0.784,0.788,-0.005,,0.169,0.167,0.012,0.083,0.079,0.048
Pheidole.diversipilosa (Minor),minor,casent0102875,0.843,0.852,-0.011,0.601,0.603,-0.003,,0.156,0.154,0.013,0.144,0.142,0.014
Pheidole.diversipilosa (Major),major,casent0102874,1.117,1.118,-0.001,1.193,1.191,0.002,,0.290,0.288,0.007,0.168,0.171,-0.018
Pheidole.flavens (Minor),minor,casent0178022,0.501,0.498,0.006,0.391,0.389,0.005,,0.113,0.112,0.009,0.081,0.080,0.012
Pheidole.flavens (Major),major,casent0178020,0.734,0.730,0.005,0.807,0.810,-0.004,,0.173,0.172,0.006,0.095,0.097,-0.021
Pheidole.lamia (Minor),minor,casent0104788,0.599,0.604,-0.008,0.419,0.419,0.000,,0.100,0.100,0.000,0.077,0.075,0.026
Pheidole.lamia (Major),major,casent0104787,0.792,0.800,-0.010,0.598,0.592,0.010,,0.130,0.133,-0.023,0.098,0.100,-0.020
Pheidole.littoralis (Minor),minor,fmnhins0000062822,0.501,0.502,-0.002,0.410,0.410,0.000,,0.088,0.088,0.000,0.082,0.083,-0.012
Pheidole.littoralis (Major),major,fmnhins0000062820,0.882,0.881,0.001,1.248,1.245,0.002,,0.216,0.212,0.019,0.154,0.162,-0.052
Pheidole.megacephala (Minor),minor,casent0056016,0.837,0.825,0.014,0.573,0.574,-0.002,,0.176,0.180,-0.023,0.129,0.132,-0.023
Pheidole.megacephala (Major),major,casent0063124,1.084,1.086,-0.002,1.292,1.295,-0.002,,0.268,0.263,0.019,0.137,0.135,0.015
Pheidole.metallescens (Minor),minor,casent0104412,0.547,0.560,-0.024,0.411,0.412,-0.002,,0.070,0.700,-9.000,0.100,0.101,-0.010
Pheidole.metallescens (Major),major,casent0104411,0.757,0.764,-0.009,0.859,0.862,-0.003,,0.155,0.153,0.013,0.126,0.125,0.008
Pheidole.morrisii (Minor),minor,casent0104416,0.843,0.832,0.013,0.550,0.548,0.004,,0.134,0.133,0.007,0.146,0.144,0.014
Pheidole.morrisii (Major),major,casent0104415,1.177,1.195,-0.015,1.143,1.143,0.000,,0.226,0.232,-0.027,0.188,0.193,-0.027
Pheidole.moerens,minor,casent0005743,0.642,0.647,-0.008,0.425,0.425,0.000,,0.101,0.102,-0.010,0.088,0.084,0.045
Pheidole.moerens,major,casent0005742,0.741,0.735,0.008,0.879,0.870,0.010,,0.253,0.259,-0.024,0.123,0.127,-0.033
Pheidole.obscurithorax,minor,casent0178042,1.062,1.057,0.005,0.558,0.557,0.002,,0.153,0.155,-0.013,0.147,0.152,-0.034
Pheidole.obscurithorax ,major,casent0178041,1.532,1.539,-0.005,1.607,1.601,0.004,,0.388,0.384,0.010,0.196,0.196,0.000
Pheidole.sp.,worker,,,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!
Pheidole.tysoni (Minor),minor,casent0104427,0.558,0.564,-0.011,0.414,0.413,0.002,,0.076,0.075,0.013,0.085,0.084,0.012
Pheidole.tysoni (Major),major,casent0282947,0.803,0.797,0.007,0.887,0.892,-0.006,,0.180,0.177,0.017,0.113,0.110,0.027
Platythyrea.punctata,worker,casent0006819,2.134,2.160,-0.012,1.016,1.013,0.003,,0.370,0.371,-0.003,0.288,0.297,-0.031
Pogonomyrmex.badius (Minor),minor,casent0104423,1.975,1.993,-0.009,1.503,1.512,-0.006,,0.227,0.217,0.044,0.318,0.315,0.009
Pogonomyrmex.badius (Major),major,casent0104424,3.005,3.002,0.001,3.182,3.196,-0.004,,0.426,0.433,-0.016,0.472,0.472,0.000
Polyergus.sp.,worker,,,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!
Ponera.exotica,worker,casent0603539,0.669,0.666,0.004,0.395,0.394,0.003,,0.160,0.160,0.000,0.019,0.012,0.368
Ponera.pennsylvanica,worker,casent0006626,1.005,1.007,-0.002,0.560,0.556,0.007,,0.143,0.140,0.021,0.033,0.031,0.061
Prenolepis.imparis,worker,casent0102823,1.119,1.125,-0.005,0.767,0.775,-0.010,,0.130,0.134,-0.031,0.226,0.224,0.009
Prionopelta.antillana,worker,casent0006076,0.609,0.604,0.008,0.432,0.432,0.000,,0.077,0.078,-0.013,0.031,0.031,0.000
Proceratium.chickasaw,worker,casent0104435,1.105,1.117,-0.011,0.723,0.717,0.008,,0.133,0.132,0.008,0.018,0.015,0.167
Proceratium.crassicorne,worker,fmnhins0000057119,0.819,0.840,-0.026,0.571,0.576,-0.009,,0.152,0.154,-0.013,0.011,0.012,-0.091
Proceratium.creek,worker,casent0104439,1.654,1.671,-0.010,0.867,0.878,-0.013,,0.160,0.162,-0.013,0.026,0.027,-0.038
Proceratium.croceum,worker,casent0104442,1.317,1.303,0.011,0.826,0.831,-0.006,,0.170,0.174,-0.024,0.018,0.016,0.111
Proceratium.pergandei,worker,casent0104443,1.220,1.249,-0.024,0.756,0.756,0.000,,0.168,0.169,-0.006,0.015,0.017,-0.133
Proceratium.silaceum,worker,casent0104234,0.796,0.805,-0.011,0.642,0.639,0.005,,0.179,0.172,0.039,n/a,n/a,#VALUE!
Pseudomyrmex.cubaensis,worker,casent0005871,1.325,1.330,-0.004,0.668,0.664,0.006,,0.081,0.082,-0.012,0.503,0.496,0.014
Pseudomyrmex.ejectus,worker,casent0102684,1.132,1.122,0.009,0.652,0.644,0.012,,0.115,0.114,0.009,0.459,0.467,-0.017
Pseudomyrmex.elongatus,worker,casent0005874,1.004,0.999,0.005,0.549,0.543,0.011,,0.038,0.037,0.026,0.442,0.440,0.005
Pseudomyrmex.gracilis,worker,casent0005838,2.423,2.396,0.011,1.330,1.323,0.005,,0.192,0.192,0.000,0.920,0.926,-0.007
Pseudomyrmex.leptosus,worker,casent0902896,1.361,1.378,-0.012,0.649,0.647,0.003,,0.066,0.065,0.015,0.388,0.387,0.003
Pseudomyrmex.pallidus,worker,casent0005441,1.134,1.131,0.003,0.641,0.643,-0.003,,0.149,0.141,0.054,0.403,0.403,0.000
Pseudomyrmex.seminole,worker,casent0103884,1.452,1.473,-0.014,0.876,0.881,-0.006,,0.113,0.114,-0.009,0.500,0.497,0.006
Pseudomyrmex.simplex,worker,MCZ_ENT_Pseudomyrmex_simplex,1.466,1.453,0.009,0.717,0.720,-0.004,,0.081,0.081,0.000,,,#DIV/0!
Pseudomyrmex.sp.,worker,,,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!
Pseudoneoponera.stigma,worker,casent0178392,1.804,1.814,-0.006,1.180,1.184,-0.003,,0.409,0.405,0.010,0.075,0.061,0.187
Solenopsis.carolinensis,worker,casent0010696,0.522,0.517,0.010,0.387,0.384,0.008,,0.063,0.065,-0.032,0.048,0.047,0.021
Solenopsis.geminata,minor,casent0104934,0.935,0.926,0.010,0.682,0.683,-0.001,,0.084,0.093,-0.107,0.117,0.124,-0.060
Solenopsis.geminata,major,casent0102966,1.423,1.418,0.004,1.164,1.170,-0.005,,0.224,0.221,0.013,0.155,0.158,-0.019
Solenopsis.globularia,worker,casent0173279,0.782,0.775,0.009,0.472,0.474,-0.004,,0.063,0.061,0.032,0.096,0.096,0.000
Solenopsis.invicta ,worker,casent0178135,1.388,1.388,0.000,0.889,0.889,0.000,,0.087,0.090,-0.034,0.155,0.155,0.000
Solenopsis.nickersoni,worker,CASENT0104505,0.418,0.418,0.000,0.293,0.293,0.000,,0.170,0.170,,0.048,0.048,0.000
Solenopsis.picta,worker,casent0104509,0.562,0.558,0.007,0.393,0.392,0.003,,0.054,0.054,0.000,0.043,0.046,-0.070
Solenopsis.pergandei,worker,CASENT0104506,0.510,0.510,0.000,0.330,0.330,0.000,,0.196,0.196,0.000,0.034,0.034,0.000
Solenopsis.tennessensis,worker,CASENT0911149,0.429,0.429,0.000,0.305,0.305,0.000,,0.169,0.169,0.000,0.021,0.021,0.000
Stenamma.foveolocephalum,worker,casent0104515,1.246,1.244,0.002,0.978,0.981,-0.003,,0.275,0.276,-0.004,0.196,0.195,0.005
"Stenamma.impar (not listed by Deyrup, check this record)",worker,casent0104795,0.822,0.829,-0.009,0.601,0.602,-0.002,,0.178,0.178,0.000,0.091,0.009,0.907
Stigmatomma.pallipes,worker,casent0005434,1.750,1.769,-0.011,1.169,1.167,0.002,,0.545,0.541,0.007,0.041,0.041,0.000
Strumigenys.abdita,worker,casent0104279,0.61,0.61,0.000,0.415,0.415,0.000,,0.105,0.105,0.000,0.025,0.026,-0.040
Strumigenys.angulata,worker,casent0103891,0.61,0.61,0.000,0.44,0.44,0.000,,0.175,0.175,0.000,0.030,0.026,0.133
Strumigenys.apalachicolensis ,worker,,0.5,0.5,0.000,0.35,0.35,0.000,,0.087,0.087,0.000,,,#DIV/0!
Strumigenys.archboldi,worker,casent0900175,0.51,0.51,0.000,0.37,0.37,0.000,,0.095,0.095,0.000,0.036,0.036,0.000
Strumigenys.boltoni,worker,,0.526,0.526,0.000,0.344,0.344,0.000,,0.074,0.074,0.000,0.049,0.049,0.000
Strumigenys.brevisetosa (was pilinasis) (No image with eye available),worker,,0.61,0.61,0.000,0.4,0.4,0.000,,0.105,0.105,0.000,,,#DIV/0!
Strumigenys.bunki,worker,casent0104336,0.525,0.525,0.000,0.38,0.38,0.000,,0.1,0.1,0.000,0.036,0.037,-0.028
Strumigenys.carolinensis,worker,casent0104341,0.56,0.56,0.000,0.4,0.4,0.000,,0.13,0.13,0.000,0.025,0.022,0.120
Strumigenys.cloydi,worker,,0.53,0.53,0.000,0.365,0.365,0.000,,0.09,0.09,0.000,0.048,0.048,0.000
Strumigenys.clypeata,worker,casent0103000,0.575,0.575,0.000,0.4,0.4,0.000,,0.095,0.095,0.000,0.044,0.044,0.000
Strumigenys.creightoni,worker,casent0104332,0.56,0.56,0.000,0.385,0.385,0.000,,0.105,0.105,0.000,0.045,0.042,0.067
Strumigenys.deyrupi,worker,casent0103172,0.48,0.48,0.000,0.33,0.33,0.000,,0.09,0.09,0.000,0.033,0.033,0.000
Strumigenys.dietrichi,worker,casent0103821,0.555,0.555,0.000,0.37,0.37,0.000,,0.08,0.08,0.000,0.050,0.045,0.100
Strumigenys.eggersi,worker,casent0103845,0.43,0.43,0.000,0.345,0.345,0.000,,0.255,0.255,0.000,0.029,0.030,-0.034
Strumigenys.emmae,worker,casent0005894,0.44,0.44,0.000,0.36,0.36,0.000,,0.135,0.135,0.000,0.022,0.022,0.000
Strumigenys.gundlachi,worker,casent0103867,0.475,0.475,0.000,0.38,0.38,0.000,,0.3,0.3,0.000,0.033,0.033,0.000
Strumigenys.hexamera,worker,casent0103819,0.585,0.585,0.000,0.54,0.54,0.000,,0.2,0.2,0.000,0.023,0.024,-0.043
Strumigenys.inopina QUEEN ONLY,queen,casent0103838,0.662,0.663,-0.002,0.382,0.850,-1.225,,0.179,0.172,0.039,0.112,0.112,0.000
Strumigenys.laevinasis,worker,casent0104472,0.65,0.65,0.000,0.44,0.44,0.000,,0.115,0.115,0.000,0.037,0.035,0.054
Strumigenys.lanuginosa,worker,casent0104517,0.61,0.61,0.000,0.46,0.46,0.000,,0.35,0.35,0.000,0.056,0.055,0.018
Strumigenys.louisianae,worker,antweb1038235,0.595,0.595,0.000,0.46,0.46,0.000,,0.355,0.355,0.000,0.044,0.044,0.000
Strumigenys.margaritae,worker,casent0104473,0.52,0.52,0.000,0.39,0.39,0.000,,0.11,0.11,0.000,0.063,0.069,-0.095
Strumigenys.membranifera,worker,casent0133285,0.515,0.515,0.000,0.42,0.42,0.000,,0.09,0.09,0.000,0.020,0.020,0.000
Strumigenys.missouriensis,worker,casent0104893,0.57,0.57,0.000,0.4,0.4,0.000,,0.09,0.09,0.000,0.035,0.036,-0.029
Strumigenys.ornata,worker,casent0104478,0.54,0.54,0.000,0.365,0.365,0.000,,0.07,0.07,0.000,0.029,0.032,-0.103
Strumigenys.pilinasis (was ohioensis) (no image with eye available),worker,,0.62,0.62,0.000,0.445,0.445,0.000,,0.14,0.14,0.000,,,#DIV/0!
Strumigenys.pulchella,worker,casent0104483,0.56,0.56,0.000,0.365,0.365,0.000,,0.085,0.085,0.000,0.035,0.035,0.000
Strumigenys.reflexa,worker,casent0104485,0.54,0.54,0.000,0.4,0.4,0.000,,0.08,0.08,0.000,0.030,0.030,0.000
Strumigenys.rogeri,worker,casent0005897,0.62,0.62,0.000,0.47,0.47,0.000,,0.35,0.35,0.000,0.046,0.051,-0.109
Strumigenys.rostrata,worker,casent0104486,0.65,0.65,0.000,0.445,0.445,0.000,,0.12,0.12,0.000,0.048,0.048,0.000
Strumigenys.silvestrii,worker,casent0178128,0.43,0.43,0.000,0.35,0.35,0.000,,0.24,0.24,0.000,0.025,0.027,-0.080
Strumigenys.sp.,worker,,,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!
Strumigenys.talpa,worker,casent0104490,0.545,0.545,0.000,0.375,0.375,0.000,,0.095,0.095,0.000,0.039,0.037,0.051
Strumigenys.wrayi(no image with eye available),worker,,0.53,0.53,0.000,0.375,0.375,0.000,,0.08,0.08,0.000,,,#DIV/0!
Tapinoma.litorale,worker,casent0249763,0.612,0.618,-0.010,0.509,0.511,-0.004,,0.134,0.134,0.000,0.091,0.096,-0.055
Tapinoma.melanocephalum,worker,casent0104536,0.537,0.545,-0.015,0.431,0.429,0.005,,0.082,0.083,-0.012,0.123,0.124,-0.008
Tapinoma.sessile,worker,casent0005329,0.913,0.935,-0.024,0.684,0.677,0.010,,0.144,0.142,0.014,0.187,0.191,-0.021
Technomyrmex.difficilis,worker,casent0171131,0.688,0.694,-0.009,0.747,0.748,-0.001,,0.171,0.153,0.105,0.196,0.198,-0.010
Temnothorax.allardycei,worker,casent0104009,0.856,0.846,0.012,0.653,0.659,-0.009,,0.103,0.103,0.000,0.172,0.173,-0.006
Temnothorax.bradleyi,worker,casent0104011,0.966,0.970,-0.004,0.653,0.650,0.005,,0.096,0.096,0.000,0.124,0.118,0.048
Temnothorax.curvispinosus,worker,casent0104032,0.701,0.700,0.001,0.485,0.489,-0.008,,0.085,0.086,-0.012,0.123,0.121,0.016
Temnothorax.palustris,worker,casent0104045,0.769,0.777,-0.010,0.501,0.505,-0.008,,0.086,0.086,0.000,0.124,0.124,0.000
Temnothorax.pergandei,worker,casent0102842,0.952,0.941,0.012,0.617,0.618,-0.002,,0.102,0.105,-0.029,0.178,0.183,-0.028
Temnothorax.schaumii,worker,casent0104047,0.768,0.777,-0.012,0.451,0.452,-0.002,,0.063,0.064,-0.016,0.120,0.119,0.008
Temnothorax.smithi,worker,casent0104053,1.033,1.033,0.000,0.886,0.888,-0.002,,0.120,0.118,0.017,0.174,0.164,0.057
Temnothorax.texanus,worker,casent0104063,0.736,0.720,0.022,0.431,0.434,-0.007,,0.080,0.080,0.000,0.114,0.118,-0.035
Temnothorax.torrei,worker,fmnhins0000088654,0.537,0.544,-0.013,0.408,0.406,0.005,,0.039,0.036,0.077,0.103,0.102,0.010
Tetramorium.bicarinatum,worker,casent0005826,1.049,1.054,-0.005,0.733,0.737,-0.005,,0.182,0.184,-0.011,0.203,0.214,-0.054
Tetramorium.caldarium,worker,casent0102333,0.661,0.658,0.005,0.453,0.453,0.000,,0.107,0.107,0.000,0.107,0.110,-0.028
Tetramorium.lanuginosum,worker,fmnhins0000088655,0.728,0.729,-0.001,0.570,0.567,0.005,,1.400,1.137,0.188,0.123,0.123,0.000
Tetramorium.simillimum,worker,casent0102390,0.665,0.677,-0.018,0.469,0.469,0.000,,0.118,0.119,-0.008,0.099,0.101,-0.020
Trachymyrmex.jamaicensis (Mycetomoellerius jamaicensis),worker,casent0919971,1.969,1.992,-0.012,1.326,1.312,0.011,,0.347,0.490,-0.412,0.234,0.226,0.034
Trachymyrmex.septentrionalis,worker,casent0919975,1.509,1.505,0.003,1.026,1.035,-0.009,,0.310,0.310,0.000,0.165,0.163,0.012
Wasmania.auropunctata,worker,casent0097874,0.480,0.479,0.002,0.393,0.396,-0.008,,0.079,0.080,-0.013,0.082,0.082,0.000
Xenomyrmex.floridanus,worker,fmnhins0000078519,0.573,0.583,-0.017,0.414,0.418,-0.010,,0.059,0.061,-0.034,0.073,0.072,0.014